,userid,geometry_x,geometry_y
235,F1836110CBD7FD7659E73091F636BF6B,POINT (-1.82157 52.48398),POINT (-1.8559 52.50554)
236,418CA85C5F021C76F176F7A56AD241D4,POINT (-1.96759 52.41157),POINT (-1.97881 52.40292)
237,05C153329C168D1F7F50EDE4BFA0B57B,POINT (-1.96759 52.41382),POINT (-1.88714 52.55862)
238,D770E8E6A5E756CA71547253A8A3A1DD,POINT (-1.88102 52.45383),POINT (-1.92188 52.43048)
239,804281634A18792C3B294135868E2C5C,POINT (-1.77208 52.4597),POINT (-1.82905 52.44194)
240,E1350EB0D66D919533E42F3289909525,POINT (-1.87676 52.40286),POINT (-1.91331 52.42145)
241,873CEDED90EB8BC154073AB19AB5B2DE,POINT (-1.77673 52.48094),POINT (-1.78378 52.51793)
242,1A876880394DFF1356E8E9413CFF996E,POINT (-1.86276 52.51891),POINT (-1.96627 52.40533)
243,E77D8EDAE40CA27A3F61D763950FE364,POINT (-1.90366 52.42416),POINT (-1.90869 52.43701)
244,7EE5684C651F51FA83A009A9AB346C6D,POINT (-1.86855 52.45158),POINT (-1.87783 52.4661)
245,5E83FAA2A10D901DA674EA0914C6B2F3,POINT (-1.95445 52.41269),POINT (-1.90969 52.42571)
246,3C6B1695DF5AD94E98EC7F193CC7A9A6,POINT (-1.89604 52.42135),POINT (-1.88437 52.42007)
